Interrupción;Elemento;Fecha Salida;Fecha Entrada;Causa;Minutos Fuera;Sistema;Hora de Salida;Hora de Entrada;Nivel;Kva;Clientes;Circuito;Nombre Circuito
7.7502E+14;11934;1/12/2016;1/12/2016;106;0;SIG;7:38:00 a. m.;7:38:00 a. m.;1;18522.912;8009.52;11934;TOPO
7.81644E+14;12036;1/12/2016;1/12/2016;106;0;SIG;6:54:00 a. m.;6:54:00 a. m.;1;5867.76;1965.12;12036;GORILA
1.55003E+15;23868;1/12/2016;1/12/2016;106;0;SIG;8:31:00 a. m.;8:31:00 a. m.;1;22396.848;4162.08;23868;BARCELONA
1.55113E+15;23885;1/12/2016;1/12/2016;101;5;SIG;12:20:00 a. m.;12:25:00 a. m.;1;19077.12;5249.52;23885;ODIN
1.13735E+14;1751;2/12/2016;2/12/2016;101;4;SIG;2:12:00 p. m.;2:16:00 p. m.;1;10719.84;7158.336;1751;TOKYO
1.14839E+14;1768;2/12/2016;2/12/2016;101;5;SIG;11:20:00 p. m.;11:25:00 p. m.;1;11649.408;3239.136;1768;CANGURO
3.37847E+14;5202;2/12/2016;2/12/2016;101;4;SIG;12:15:00 p. m.;12:19:00 p. m.;1;23040.48;1342.464;5202;CAIRO
4.43831E+14;6834;2/12/2016;2/12/2016;106;0;SIG;9:00:00 a. m.;9:00:00 a. m.;1;11503.68;8297.664;6834;RA
7.73927E+14;11917;2/12/2016;2/12/2016;106;0;SIG;5:08:00 a. m.;5:08:00 a. m.;1;10372.08;9173.136;11917;ROMA
7.82759E+14;12053;2/12/2016;2/12/2016;101;8;SIG;9:52:00 a. m.;10:00:00 a. m.;1;2058.96;1467.216;12053;TIBURON
1.65713E+15;25517;2/12/2016;2/12/2016;108;11;SIG;9:53:00 a. m.;10:04:00 a. m.;1;33142.08;873.264;25517;RATON
2.21938E+14;3417;3/12/2016;3/12/2016;306;4;SIG;9:40:00 a. m.;9:44:00 a. m.;1;13687.392;1918.752;3417;LOKI
2.21938E+14;3417;3/12/2016;3/12/2016;306;5;SIG;10:27:00 a. m.;10:32:00 a. m.;1;13687.392;1918.752;3417;LOKI
1.14862E+14;1768;4/12/2016;4/12/2016;106;0;SIG;1:34:00 p. m.;1:34:00 p. m.;1;11649.408;3239.136;1768;CANGURO
1.14862E+14;1768;4/12/2016;4/12/2016;106;0;SIG;1:41:00 p. m.;1:41:00 p. m.;1;11649.408;3239.136;1768;CANGURO
1.14862E+14;1768;4/12/2016;4/12/2016;104;99;SIG;1:45:00 p. m.;3:24:00 p. m.;1;11649.408;3239.136;1768;CANGURO
7.7947E+14;12002;4/12/2016;4/12/2016;106;0;SIG;3:18:00 p. m.;3:18:00 p. m.;1;5368.752;3383.76;12002;GATO
1.65715E+15;25517;4/12/2016;4/12/2016;305;37;SIG;6:23:00 p. m.;7:00:00 p. m.;1;33142.08;873.264;25517;RATON
2.98416E+15;45951;4/12/2016;4/12/2016;106;0;SIG;5:49:00 a. m.;5:49:00 a. m.;1;21949.728;3037.104;45951;HADES
1.15977E+14;1785;5/12/2016;5/12/2016;102;47;SIG;7:21:00 a. m.;8:08:00 a. m.;1;19839.984;6651.6;1785;AVE
1.15977E+14;1785;5/12/2016;5/12/2016;102;27;SIG;10:22:00 a. m.;10:49:00 a. m.;1;19839.984;6651.6;1785;AVE
1.15977E+14;1785;5/12/2016;5/12/2016;306;3;SIG;11:21:00 a. m.;11:24:00 a. m.;1;19839.984;6651.6;1785;AVE
2.29689E+14;3536;5/12/2016;5/12/2016;104;68;SIG;2:10:00 p. m.;3:18:00 p. m.;1;24102.528;1689.12;3536;OSO
7.73972E+14;11917;6/12/2016;6/12/2016;106;0;SIG;4:27:00 p. m.;4:27:00 p. m.;1;10372.08;9173.136;11917;ROMA
1.32597E+15;20417;6/12/2016;6/12/2016;102;134;SIG;4:29:00 p. m.;6:43:00 p. m.;1;5784.96;3831.984;20417;MANCHESTER
7.77295E+14;11968;7/12/2016;7/12/2016;106;0;SIG;6:28:00 a. m.;6:28:00 a. m.;1;14899.584;7055.664;11968;PALOMA
1.65829E+15;25534;7/12/2016;7/12/2016;106;0;SIG;5:44:00 a. m.;5:44:00 a. m.;1;18768;2639.664;25534;OTTAWA
3.37914E+14;5202;8/12/2016;8/12/2016;101;8;SIG;9:46:00 p. m.;9:54:00 p. m.;1;23040.48;1342.464;5202;CAIRO
3.37914E+14;5202;8/12/2016;8/12/2016;306;48;SIG;10:00:00 p. m.;10:48:00 p. m.;1;23040.48;1342.464;5202;CAIRO
7.76202E+14;11951;8/12/2016;8/12/2016;106;0;SIG;5:48:00 a. m.;5:48:00 a. m.;1;12135.168;5100.48;11951;VENADO
7.77306E+14;11968;8/12/2016;8/12/2016;106;0;SIG;8:42:00 a. m.;8:42:00 a. m.;1;14899.584;7055.664;11968;PALOMA
3.32405E+14;5117;9/12/2016;9/12/2016;101;5;SIG;6:57:00 a. m.;7:02:00 a. m.;1;46262.016;3262.32;5117;CUPIDO
5.54309E+14;8534;9/12/2016;9/12/2016;305;3;SIG;9:45:00 p. m.;9:48:00 p. m.;1;11097.408;3786.72;8534;CAMALEON
5.56517E+14;8568;9/12/2016;9/12/2016;305;1;SIG;9:36:00 p. m.;9:37:00 p. m.;1;8960.064;2756.688;8568;ZEUS
7.78421E+14;11985;9/12/2016;9/12/2016;305;4;SIG;9:44:00 p. m.;9:48:00 p. m.;1;6253.056;2061.168;11985;MADRID
7.79525E+14;12002;9/12/2016;9/12/2016;305;4;SIG;9:44:00 p. m.;9:48:00 p. m.;1;5368.752;3383.76;12002;GATO
7.80629E+14;12019;9/12/2016;9/12/2016;305;1;SIG;9:36:00 p. m.;9:37:00 p. m.;1;13903.776;2022.528;12019;LEON
7.81733E+14;12036;9/12/2016;9/12/2016;305;2;SIG;9:35:00 p. m.;9:37:00 p. m.;1;5867.76;1965.12;12036;GORILA
1.2156E+15;18717;9/12/2016;9/12/2016;212;24;SIG;6:07:00 p. m.;6:31:00 p. m.;1;24294.624;10219.728;18717;ANACONDA
5.5432E+14;8534;10/12/2016;10/12/2016;305;1;SIG;12:18:00 a. m.;12:19:00 a. m.;1;11097.408;3786.72;8534;CAMALEON
5.56528E+14;8568;10/12/2016;10/12/2016;305;1;SIG;12:24:00 a. m.;12:25:00 a. m.;1;8960.064;2756.688;8568;ZEUS
7.78432E+14;11985;10/12/2016;10/12/2016;305;1;SIG;12:18:00 a. m.;12:19:00 a. m.;1;6253.056;2061.168;11985;MADRID
